permno,permco,cusip,comnam,namedt,nameenddt,end_date,st_date,siccd,gvkey
21072,58209,48563L10,KARAT PACKAGING INC,2021-04-15,2023-12-29,2023-12-29,2021-04-15,9999,035674
21074,58210,51709710,LARGO RESOURCES LTD,2021-04-19,2021-11-09,2023-12-29,2021-04-19,9999,106003
21075,57955,G6S23K10,MORINGA ACQUISITION CORP,2021-04-07,2023-12-29,2023-12-29,2021-04-07,9999,037967
21076,57956,00739D10,M C A P ACQUISITION CORP,2021-04-19,2021-12-22,2023-12-29,2021-04-19,9999,037949
21077,58211,60255C88,MIND MEDICINE MINDMED INC,2021-04-27,2022-07-04,2023-12-29,2021-04-27,9999,036288
21079,58140,65101L10,NEWBURY STREET ACQUISITION CORP,2021-04-16,2023-12-29,2023-12-29,2021-04-16,9999,037969
21081,58213,64128810,NEUROPACE INC,2021-04-22,2023-12-29,2023-12-29,2021-04-22,9999,038507
21085,57962,62459N10,PATHFINDER ACQUISITION CORP,2021-04-09,2023-02-12,2023-12-29,2021-04-09,9999,037923
21087,58215,74276R10,PRIVIA HEALTH GROUP INC,2021-04-29,2023-12-29,2023-12-29,2021-04-29,9999,038594
21089,58216,75082Q10,RAIN THERAPEUTICS INC,2021-04-23,2022-12-29,2023-12-29,2021-04-23,9999,038697
21090,58217,75644T10,RED CAT HOLDINGS INC,2021-04-30,2023-12-29,2023-12-29,2021-04-30,9999,035223
21091,58218,75974E10,RENEO PHARMACEUTICALS INC,2021-04-09,2023-12-29,2023-12-29,2021-04-09,9999,038453
21096,58219,83089J10,SKYWATER TECHNOLOGY INC,2021-04-21,2023-12-29,2023-12-29,2021-04-21,9999,038465
21097,57978,G8210L10,SLAM CORP,2021-04-15,2023-12-29,2023-12-29,2021-04-15,9999,037943
21105,58222,89455T10,TREACE MEDICAL CONCEPTS INC,2021-04-23,2023-12-29,2023-12-29,2021-04-23,9999,038558
21108,57988,90118T10,TWELVE SEAS INVESTMENT CO II,2021-04-19,2023-12-29,2023-12-29,2021-04-19,9999,038177
21109,58225,91702V10,URANIUM ROYALTY CORP,2021-04-28,2023-12-29,2023-12-29,2021-04-28,9999,035955
21110,58226,G9411M10,UTIME LTD,2021-04-06,2023-09-04,2023-12-29,2021-04-06,9999,036336
21111,58227,91864C10,VACCITECH PLC,2021-04-30,2023-11-06,2023-12-29,2021-04-30,9999,038643
21114,57991,G6077Y10,VENUS ACQUISITION CORP,2021-04-13,2022-12-12,2023-12-29,2021-04-13,9999,037846
21116,58229,96327X20,WHERE FOOD COMES FROM INC,2021-04-12,2023-12-29,2023-12-29,2021-04-12,9999,175908
21118,58230,43833310,HONEST COMPANY INC,2021-05-05,2023-12-29,2023-12-29,2021-05-05,9999,038635
21120,58231,92719V10,VIMEO INC,2021-05-25,2023-12-29,2023-12-29,2021-05-25,9999,038757
21122,58233,30249210,FLYWIRE CORP,2021-05-26,2023-12-29,2023-12-29,2021-05-26,9999,038739
21262,58275,23954D10,DAY ONE BIOPHARMACEUTICALS INC,2021-05-27,2023-12-29,2023-12-29,2021-05-27,9999,038763
21263,58276,82933R10,SINGULAR GENOMICS SYSTEMS INC,2021-05-27,2023-12-29,2023-12-29,2021-05-27,9999,038806
21264,58192,G0083E10,ACE GLOBAL BUSINESS ACQ LTD,2021-05-21,2023-12-29,2023-12-29,2021-05-21,9999,038039
21265,58073,68347P10,ARCLIGHT CLEAN TRANS CORP II,2021-05-19,2022-07-21,2023-12-29,2021-05-19,9999,037997
21269,58278,03456910,ANEBULO PHARMACEUTICALS INC,2021-05-07,2023-12-29,2023-12-29,2021-05-07,9999,038706
21270,58081,89601Y10,TRIBE CAPITAL GROWTH CORP I,2021-05-18,2022-07-27,2023-12-29,2021-05-18,9999,038025
21271,58281,10300210,BOWMAN CONSULTING GROUP LTD,2021-05-07,2023-12-29,2023-12-29,2021-05-07,9999,038754
21272,58282,12448X20,BYRNA TECHNOLOGIES INC,2021-05-05,2023-12-29,2023-12-29,2021-05-05,9999,175457
21273,58083,00894010,B Y T E ACQUISITION CORP,2021-05-10,2023-12-21,2023-12-29,2021-05-10,9999,038360
21276,58084,98400V10,C F ACQUISITION CORP VIII,2021-05-03,2023-11-29,2023-12-29,2021-05-03,9999,038259
21278,58283,15230910,CENTESSA PHARMACEUTICALS PLC,2021-05-28,2023-12-29,2023-12-29,2021-05-28,9999,038805
21280,58285,25401N40,DIGITAL BRANDS GROUP INC,2021-05-14,2022-11-03,2023-12-29,2021-05-14,9999,035152
21281,58087,83422N10,DECARBONIZATION PL ACQ CORP III,2021-05-14,2021-12-08,2023-12-29,2021-05-14,9999,038094
21285,58287,23786R20,DATA STORAGE CORP,2021-05-14,2023-12-29,2023-12-29,2021-05-14,9999,179363
21286,58288,81726A10,DYNAMICS SPECIAL PURPOSE CORP,2021-05-26,2022-06-08,2023-12-29,2021-05-26,9999,038783
21288,58289,G2952X12,E HOME HOUSEHOLD SERV HLDGS LTD,2021-05-14,2022-10-03,2023-12-29,2021-05-14,9999,035623
21289,58290,33976420,FLORA GROWTH CORP,2021-05-11,2023-06-08,2023-12-29,2021-05-11,9999,038075
21294,58291,33830T10,FIVE STAR BANCORP,2021-05-05,2023-12-29,2023-12-29,2021-05-05,9999,038634
21297,58293,35909D10,FRONTIER COMMUNICATIONS PRINT,2021-05-04,2023-12-29,2023-12-29,2021-05-04,9999,135484
21298,58104,38079910,GOLDEN ARROW MERGER CORP,2021-05-07,2023-12-29,2023-12-29,2021-05-07,9999,038173
21301,58295,M5216V10,GLOBAL E ONLINE LTD,2021-05-12,2023-12-29,2023-12-29,2021-05-12,9999,038645
21308,58296,46265P10,IPOWER INC,2021-05-12,2023-12-29,2023-12-29,2021-05-12,9999,037971
21309,58297,G5140012,JIUZI HOLDINGS INC,2021-05-18,2023-07-09,2023-12-29,2021-05-18,9999,036906
21313,58130,51477A10,LANDCADIA HOLDINGS IV INC,2021-05-17,2023-12-29,2023-12-29,2021-05-17,9999,038459
21314,58129,G5346G12,L CATTERTON ASIA ACQ CORP,2021-05-03,2023-12-29,2023-12-29,2021-05-03,9999,038327
21319,58136,G6580S11,NOCTURNE ACQUISITION CORP,2021-05-03,2023-12-29,2023-12-29,2021-05-03,9999,038037
21322,58301,64130M20,NEUROONE MEDICAL TECH CORP,2021-05-26,2023-12-29,2023-12-29,2021-05-26,9999,032247
21323,58303,68557F20,ORBSAT CORP,2021-05-28,2022-01-20,2023-12-29,2021-05-28,9999,118941
21324,58305,67421J10,OATLY GROUP A B,2021-05-20,2023-12-29,2023-12-29,2021-05-20,9999,038676
21325,56377,72016P10,PIEDMONT LITHIUM INC,2021-05-18,2023-12-29,2023-12-29,2021-05-18,9999,253501
21326,58145,G7134L12,PLUM ACQUISITION CORP I,2021-05-06,2023-12-29,2023-12-29,2021-05-06,9999,038373
21328,58306,74880P10,QUIPT HOME MEDICAL CORP,2021-05-27,2023-12-29,2023-12-29,2021-05-27,9999,185054
21331,58152,05177410,REINVENT TECHNOLOGY PARTNERS Y,2021-05-06,2021-11-03,2023-12-29,2021-05-06,9999,038107
21335,58309,80512Q40,SAVE FOODS INC,2021-05-14,2023-10-05,2023-12-29,2021-05-14,9999,183968
21336,58310,89157D10,TALARIS THERAPEUTICS INC,2021-05-07,2023-10-19,2023-12-29,2021-05-07,9999,038738
21341,58311,92025Y10,VALNEVA S E,2021-05-06,2023-12-29,2023-12-29,2021-05-06,9999,285556
21342,58312,92337R10,VERA THERAPEUTICS INC,2021-05-14,2023-12-29,2023-12-29,2021-05-14,9999,038782
21343,58164,G9503X10,WALDENCAST ACQUISITION CORP,2021-05-10,2022-07-27,2023-12-29,2021-05-10,9999,038291
21345,58315,57142B10,MARQETA INC,2021-06-09,2023-12-29,2023-12-29,2021-06-09,9999,038832
21348,58316,53228F10,LIFESTANCE HEALTH GROUP INC,2021-06-10,2023-12-29,2023-12-29,2021-06-10,9999,038834
21350,58318,87652V10,TASKUS INC,2021-06-11,2023-12-29,2023-12-29,2021-06-11,9999,038647
21351,58319,55083R10,LYELL IMMUNOPHARMA INC,2021-06-17,2023-12-29,2023-12-29,2021-06-17,9999,038883
21352,58320,31846B10,FIRST ADVANTAGE CORP,2021-06-23,2023-12-29,2023-12-29,2021-06-23,9999,039048
21358,58324,20717M10,CONFLUENT INC,2021-06-24,2023-12-29,2023-12-29,2021-06-24,9999,038931
21512,58427,00510M10,ACURX PHARMACEUTICALS INC,2021-06-25,2023-12-29,2023-12-29,2021-06-25,9999,038910
21513,58428,02262M40,ALZAMEND NEURO INC,2021-06-15,2023-10-30,2023-12-29,2021-06-15,9999,038791
21516,58429,N0731H10,ATAI LIFE SCIENCES N V,2021-06-18,2023-12-29,2023-12-29,2021-06-18,9999,038687
21518,58431,00806410,AEROVATE THERAPEUTICS INC,2021-06-30,2023-12-29,2023-12-29,2021-06-30,9999,038987
21519,58432,09173B10,BITFARMS LTD,2021-06-21,2023-12-29,2023-12-29,2021-06-21,9999,329579
21520,58433,G1449210,BON NATURAL LIFE LTD,2021-06-24,2023-12-29,2023-12-29,2021-06-24,9999,038551
21525,58435,48553T10,KANZHUN LTD,2021-06-11,2023-12-29,2023-12-29,2021-06-11,9999,038862
21526,58436,G7170011,POP CULTURE GROUP CO LTD,2021-06-30,2023-10-26,2023-12-29,2021-06-30,9999,038812
21527,58437,12663810,CVRX INC,2021-06-30,2023-12-29,2023-12-29,2021-06-30,9999,039127
21528,58438,23284P10,CYTEIR THERAPEUTICS INC,2021-06-18,2023-12-29,2023-12-29,2021-06-18,9999,038925
21529,58439,32055110,1STDIBS COM INC,2021-06-10,2023-12-29,2023-12-29,2021-06-10,9999,038824
21532,58286,68270C10,DATA KNIGHTS ACQUISITION CORP,2021-06-24,2023-11-07,2023-12-29,2021-06-24,9999,038308
21533,58441,G2901810,DLOCAL LTD,2021-06-03,2023-12-29,2023-12-29,2021-06-03,9999,038771
21534,58442,00974B10,SOCIAL CAP SUVRETTA HLD CORP I,2021-06-30,2022-08-21,2023-12-29,2021-06-30,9999,038945
21536,58444,G7S53R10,SOCIAL CAP SUVRETTA HLD CORP III,2021-06-30,2022-07-11,2023-12-29,2021-06-30,9999,034263
21538,58446,19200310,CODEX DNA INC,2021-06-18,2023-01-03,2023-12-29,2021-06-18,9999,038923
21539,58447,28623U10,ELEVATION ONCOLOGY INC,2021-06-25,2023-12-29,2023-12-29,2021-06-25,9999,039060
21540,58448,31447E10,FEMASYS INC,2021-06-18,2023-12-29,2023-12-29,2021-06-18,9999,038829
21541,58451,36493410,ENGINE MEDIA HOLDINGS INC,2021-06-17,2021-10-18,2023-12-29,2021-06-17,9999,028813
21542,58452,G3855L10,G H RESEARCH PLC,2021-06-25,2023-12-29,2023-12-29,2021-06-25,9999,038957
21543,58453,61225M10,MONTE ROSA THERAPEUTICS INC,2021-06-24,2023-12-29,2023-12-29,2021-06-24,9999,039057
21546,58457,39878L50,GROM SOCIAL ENTERPRISES INC,2021-06-17,2022-12-08,2023-12-29,2021-06-17,9999,032407
21547,58458,38870X10,GRAPHITE BIO INC,2021-06-25,2023-12-29,2023-12-29,2021-06-25,9999,039063
21551,58460,39959A10,GROVE INC,2021-06-24,2022-08-18,2023-12-29,2021-06-24,9999,038661
21552,58462,42981E40,HIGH TIDE INC,2021-06-02,2023-12-29,2023-12-29,2021-06-02,9999,330826
21554,58464,45828L10,INTEGRAL AD SCIENCE HOLDING CORP,2021-06-30,2023-12-29,2023-12-29,2021-06-30,9999,039069
21556,58465,45569U10,INDIE SEMICONDUCTOR INC,2021-06-11,2023-12-29,2023-12-29,2021-06-11,9999,038995
21559,58466,45827U10,INTAPP INC,2021-06-30,2023-12-29,2023-12-29,2021-06-30,9999,039070
21560,58467,15673T10,CENTURY THERAPEUTICS INC,2021-06-18,2023-12-29,2023-12-29,2021-06-18,9999,038920
21562,58469,45032V10,ISPECIMEN INC,2021-06-17,2023-12-29,2023-12-29,2021-06-17,9999,037671
21563,58470,47103J10,JANUX THERAPEUTICS INC,2021-06-11,2023-12-29,2023-12-29,2021-06-11,9999,038857
21564,58474,52466B10,LEGALZOOM COM INC,2021-06-30,2023-12-29,2023-12-29,2021-06-30,9999,039225
21567,58299,56564V10,MAQUIA CAPITAL ACQUISITION CORP,2021-06-07,2023-12-29,2023-12-29,2021-06-07,9999,038620
21571,58479,M7S64H10,MONDAY COM LTD,2021-06-10,2023-12-29,2023-12-29,2021-06-10,9999,038822
21572,58480,60853G10,MOLECULAR PARTNERS A G,2021-06-16,2023-12-29,2023-12-29,2021-06-16,9999,318525
21575,58212,G6360J10,MODEL PERFORMANCE ACQ CORP,2021-06-08,2023-01-04,2023-12-29,2021-06-08,9999,038247
21576,58482,70451X10,PAYONEER GLOBAL INC,2021-06-28,2023-12-29,2023-12-29,2021-06-28,9999,039103
21577,58483,75630B40,RECRUITER COM GROUP INC,2021-06-30,2023-08-24,2023-12-29,2021-06-30,9999,035345
21578,58484,75585H20,REAL BROKERAGE INC,2021-06-15,2023-12-29,2023-12-29,2021-06-15,9999,037198
21580,58488,87167T20,SYNAPTOGENIX INC,2021-06-07,2023-12-29,2023-12-29,2021-06-07,9999,037386
21584,58490,M8744T10,TABOOLA COM LTD,2021-06-30,2023-12-29,2023-12-29,2021-06-30,9999,039124
21586,58492,02080L10,ALPHA TEKNOVA INC,2021-06-25,2023-12-29,2023-12-29,2021-06-25,9999,039051
21587,58493,89484T10,TREMOR INTERNATIONAL LTD,2021-06-18,2023-12-29,2023-12-29,2021-06-18,9999,317637
21588,58224,G7852T10,TRADEUP GLOBAL CORP,2021-06-21,2022-05-01,2023-12-29,2021-06-21,9999,038249
21589,58495,92539P10,VERVE THERAPEUTICS INC,2021-06-17,2023-12-29,2023-12-29,2021-06-17,9999,038908
21592,58496,M9762810,WALKME LTD,2021-06-16,2023-12-29,2023-12-29,2021-06-16,9999,038835
21593,58497,98423F10,XOMETRY INC,2021-06-30,2023-12-29,2023-12-29,2021-06-30,9999,039065
21594,58499,50101L10,KRISPY KREME INC,2021-07-01,2023-12-29,2023-12-29,2021-07-01,9999,133767
21595,56227,M2R51X11,COLLPLANT BIOTECHNOLOGIES LTD,2021-06-04,2023-12-29,2023-12-29,2021-06-04,9999,297095
21597,58502,71844V20,PHILLIPS EDISON & COMPANY INC,2021-07-15,2023-12-29,2023-12-29,2021-07-15,9999,026839
21599,58504,29479A10,ERASCA INC,2021-07-16,2023-12-29,2023-12-29,2021-07-16,9999,039198
21600,58505,70435P10,PAYCOR HCM INC,2021-07-21,2023-12-29,2023-12-29,2021-07-21,9999,038707
21604,58507,00091E10,ABSCI CORP,2021-07-22,2023-12-29,2023-12-29,2021-07-22,9999,039175
21606,58509,23285D10,CYTEK BIOSCIENCES INC,2021-07-23,2023-12-29,2023-12-29,2021-07-23,9999,039246
21614,58515,26603R10,DUOLINGO INC,2021-07-28,2023-12-29,2023-12-29,2021-07-28,9999,039122
21695,58544,00509G20,ACUMEN PHARMACEUTICALS INC,2021-07-01,2023-12-29,2023-12-29,2021-07-01,9999,038986
21698,58545,C0094812,AGRIFORCE GROWING SYSTEMS LTD,2021-07-08,2023-10-10,2023-12-29,2021-07-08,9999,037547
21701,58550,22207T10,COUCHBASE INC,2021-07-22,2023-12-29,2023-12-29,2021-07-22,9999,039059
21703,58551,09549B10,BLUE FOUNDRY BANCORP,2021-07-16,2023-12-29,2023-12-29,2021-07-16,9999,038764
21705,58553,13740410,CANDEL THERAPEUTICS INC,2021-07-27,2023-12-29,2023-12-29,2021-07-27,9999,039269
21707,58557,14203810,CARIBOU BIOSCIENCES INC,2021-07-23,2023-12-29,2023-12-29,2021-07-23,9999,039291
21708,58558,23015310,CULLMAN BANCORP INC,2021-07-15,2023-12-29,2023-12-29,2021-07-15,9999,183663
21712,58560,26142Q20,DRAGANFLY INC,2021-07-30,2023-12-29,2023-12-29,2021-07-30,9999,035894
21713,58562,29977X10,EVERCOMMERCE INC,2021-07-01,2023-12-29,2023-12-29,2021-07-01,9999,038924
21716,58565,G3R23910,GAMBLING COM GROUP LTD,2021-07-23,2023-12-29,2023-12-29,2021-07-23,9999,039107
21720,58456,G5503210,GOLDEN PATH ACQ CORP,2021-07-30,2022-09-18,2023-12-29,2021-07-30,9999,038992
21721,58568,40423R10,HCW BIOLOGICS INC,2021-07-20,2023-12-29,2023-12-29,2021-07-20,9999,038900
21722,58569,23292B10,D MARKET ELCTRNCS SRVCS & TRDNG,2021-07-01,2023-12-29,2023-12-29,2021-07-01,9999,038928
21723,58570,77070010,ROBINHOOD MARKETS INC,2021-07-29,2023-12-29,2023-12-29,2021-07-29,9999,039293
21724,58571,43392110,HIVE BLOCKCHAIN TECHNOLOGIES LTD,2021-07-01,2021-09-13,2023-12-29,2021-07-01,9999,105811
21729,58572,45114M10,ICOSAVAX INC,2021-07-29,2023-12-29,2023-12-29,2021-07-29,9999,039358
21730,58573,M5363710,INSPIRA TECHNOLOGIES OXY BHN LTD,2021-07-14,2023-12-29,2023-12-29,2021-07-14,0,038537
21732,58576,45254E10,IMMUNEERING CORP,2021-07-30,2023-12-29,2023-12-29,2021-07-30,9999,039189
21735,58577,45674E10,IN8BIO INC,2021-07-30,2023-12-29,2023-12-29,2021-07-30,9999,037352
21736,58578,48310420,KAIVAL BRANDS INNOVATIONS GP INC,2021-07-29,2023-12-29,2023-12-29,2021-07-29,9999,164146
21737,58579,48346710,KALTURA INC,2021-07-21,2023-12-29,2023-12-29,2021-07-21,9999,038491
21740,58475,62403K10,MOUNTAIN CREST ACQ CORP IV,2021-07-28,2023-12-29,2023-12-29,2021-07-28,9999,038875
21743,58581,60365W20,MINIM INC,2021-07-07,2023-04-16,2023-12-29,2021-07-07,9999,183666
21744,58582,56146T10,MAMAMANCINIS HOLDINGS INC,2021-07-15,2023-08-01,2023-12-29,2021-07-15,9999,017494
21745,58583,57777K10,MAXCYTE INC,2021-07-30,2023-12-29,2023-12-29,2021-07-30,9999,321429
21746,50976,66412110,NORTHEAST CMNTY BANCORP INC MD,2021-07-13,2023-12-29,2023-12-29,2021-07-13,9999,175083
21747,58584,67070310,NUVALENT INC,2021-07-29,2023-12-29,2023-12-29,2021-07-29,9999,039344
21748,58585,B6S7WD10,NYXOAH S A,2021-07-02,2023-12-29,2023-12-29,2021-07-02,9999,339950
21749,58586,69002R10,OUTBRAIN INC,2021-07-23,2023-12-29,2023-12-29,2021-07-23,9999,039248
21750,58587,68217N10,OMEGA THERAPEUTICS INC,2021-07-30,2023-12-29,2023-12-29,2021-07-30,9999,039181
21752,58304,67550710,OCEANTECH ACQUISITIONS I CORP,2021-07-19,2023-12-29,2023-12-29,2021-07-19,9999,038637
21753,58588,69318V10,PB BANKSHARES INC,2021-07-15,2023-12-29,2023-12-29,2021-07-15,9999,039241
21754,58590,74766W10,QUANTUM COMPUTING INC,2021-07-15,2023-12-29,2023-12-29,2021-07-15,9999,162643
21756,58591,75301810,RANI THERAPEUTICS HOLDINGS INC,2021-07-30,2023-12-29,2023-12-29,2021-07-30,9999,039190
21757,58592,M8287R20,R E E AUTOMOTIVE LTD,2021-07-23,2023-10-17,2023-12-29,2021-07-23,9999,039325
21758,58593,G7487R10,REGENCELL BIOSCIENCE HLDGS LTD,2021-07-16,2023-12-29,2023-12-29,2021-07-16,9999,038705
21759,58595,75120L10,RALLYBIO CORP,2021-07-29,2023-12-29,2023-12-29,2021-07-29,9999,039359
21760,58596,89357L20,TRANSCODE THERAPEUTICS INC,2021-07-09,2023-05-22,2023-12-29,2021-07-09,9999,038511
21761,58597,75340L10,RAPID MICRO BIOSYSTEMS INC,2021-07-15,2023-12-29,2023-12-29,2021-07-15,9999,039202
21762,58598,78349D10,RXSIGHT INC,2021-07-30,2023-12-29,2023-12-29,2021-07-30,9999,039184
21763,58599,81749D10,SERA PROGNOSTICS INC,2021-07-15,2023-12-29,2023-12-29,2021-07-15,9999,039170
21764,58600,82657M10,SIGHT SCIENCES INC,2021-07-15,2023-12-29,2023-12-29,2021-07-15,9999,039171
21767,58601,83303Y10,SNAP ONE HOLDINGS CORP,2021-07-28,2023-12-29,2023-12-29,2021-07-28,9999,039286
21770,58602,G8062B11,SENTAGE HOLDINGS INC,2021-07-09,2022-08-10,2023-12-29,2021-07-09,9999,038972
21771,58603,H8202710,SOPHIA GENETICS S A,2021-07-23,2023-12-29,2023-12-29,2021-07-23,9999,039294
21773,58605,88521310,THORNBURG INCOME BUILDER OPP TR,2021-07-28,2023-12-29,2023-12-29,2021-07-28,9999,039356
21774,58606,87224V10,TC BANCSHARES INC,2021-07-21,2023-12-29,2023-12-29,2021-07-21,9999,038583
21775,58607,88231Q10,TEXAS COMMUNITY BANCSHARES INC,2021-07-15,2023-12-29,2023-12-29,2021-07-15,9999,038755
21778,58608,89854M10,TSCAN THERAPEUTICS INC,2021-07-16,2023-12-29,2023-12-29,2021-07-16,9999,038745
21779,58609,87990A10,TENAYA THERAPEUTICS INC,2021-07-30,2023-12-29,2023-12-29,2021-07-30,9999,039204
21780,58611,90466Y10,UNICYCIVE THERAPEUTICS INC,2021-07-13,2023-12-29,2023-12-29,2021-07-13,9999,038867
21781,58613,90355N10,U S CENTURY BANK,2021-07-23,2021-12-29,2023-12-29,2021-07-23,9999,039322
21782,58614,90177C10,TWIN VEE POWERCATS CO,2021-07-21,2023-12-29,2023-12-29,2021-07-21,9999,038624
21783,58615,92565410,VICINITY MOTOR CORP,2021-07-07,2023-12-29,2023-12-29,2021-07-07,9999,019354
21786,58616,37892C10,GLIMPSE GROUP INC,2021-07-01,2023-12-29,2023-12-29,2021-07-01,9999,038827
21787,58617,27900N10,ECO WAVE POWER GLOBAL A B PUBL,2021-07-01,2023-12-29,2023-12-29,2021-07-01,9999,332967
21788,58619,G9889V10,ZENVIA INC,2021-07-22,2023-12-29,2023-12-29,2021-07-22,9999,038723
21790,58622,00534A10,ADAGIO THERAPEUTICS INC,2021-08-06,2022-09-12,2023-12-29,2021-08-06,9999,039266
21791,56093,30258N60,F A T BRANDS INC,2021-08-23,2023-12-29,2023-12-29,2021-08-23,9999,032592
21828,58640,00091F30,A B V C BIOPHARMA INC,2021-08-03,2023-07-24,2023-12-29,2021-08-03,9999,039801
21829,58645,46264C30,IPSIDY INC,2021-08-24,2022-07-19,2023-12-29,2021-08-24,9999,023001
21830,58646,10483330,BRAGG GAMING GROUP INC,2021-08-27,2023-12-29,2023-12-29,2021-08-27,9999,031006
21831,58647,09074H20,BIOTRICITY INC,2021-08-26,2023-07-02,2023-12-29,2021-08-26,9999,026891
21832,58554,63911H10,CLEANTECH ACQUISITION CORP,2021-08-04,2022-09-12,2023-12-29,2021-08-04,9999,039240
21833,58555,60743G10,CHAVANT CAPITAL ACQ CORP,2021-08-13,2023-12-21,2023-12-29,2021-08-13,9999,039121
21834,58652,M2197Q10,CELLEBRITE DI LTD,2021-08-31,2023-12-29,2023-12-29,2021-08-31,9999,039550
21835,58653,26145B10,CHARDAN NEXTECH ACQ 2 CORP,2021-08-24,2022-10-09,2023-12-29,2021-08-24,9999,038277
21836,58655,14161Y20,CARDIOL THERAPEUTICS INC,2021-08-10,2023-12-29,2023-12-29,2021-08-10,9999,034570
21837,58656,23816M20,DATCHAT INC,2021-08-13,2023-09-19,2023-12-29,2021-08-13,9999,039426
